implementation,action,num_rows,num_cols,filled,time
linked_list,insert: col after end,10000,100,0.66,1.781387900000027
csr,insert: col after end,10000,100,0.66,5.0600000122358324e-05
array,insert: col into middle,10000,100,0.66,50.63993750000009
linked_list,insert: col into middle,10000,100,0.66,47.119388099999924
csr,insert: col into middle,10000,100,0.66,8.745898800000305
array,insert: col at random pos.,10000,100,0.66,67.02203180000015
linked_list,insert: col at random pos.,10000,100,0.66,85.79401860000007
csr,insert: col at random pos.,10000,100,0.66,10.497074999999768
array,insert: row at start,10000,100,1.0,22.07686680000006
linked_list,insert: row at start,10000,100,1.0,0.3534092999998393
csr,insert: row at start,10000,100,1.0,0.00042619999976523104
array,insert: row at end,10000,100,1.0,0.24272119999977804
linked_list,insert: row at end,10000,100,1.0,0.3072747999999592
csr,insert: row at end,10000,100,1.0,6.470000016634003e-05
array,insert: row after end,10000,100,1.0,2.840000024662004e-05
linked_list,insert: row after end,10000,100,1.0,0.12858529999994062
csr,insert: row after end,10000,100,1.0,4.830000034417026e-05
array,insert: row into middle,10000,100,1.0,10.451914399999623
linked_list,insert: row into middle,10000,100,1.0,0.41293309999991834
csr,insert: row into middle,10000,100,1.0,0.0002612999996927101
array,insert: row at random pos.,10000,100,1.0,11.10634089999985
linked_list,insert: row at random pos.,10000,100,1.0,0.35653689999981
csr,insert: row at random pos.,10000,100,1.0,0.00036820000013904064
array,insert: col at start,10000,100,1.0,51.970894600000065
linked_list,insert: col at start,10000,100,1.0,15.723626599999989
csr,insert: col at start,10000,100,1.0,10.831875599999876
array,insert: col at end,10000,100,1.0,45.087035000000014
linked_list,insert: col at end,10000,100,1.0,45.92926219999981
csr,insert: col at end,10000,100,1.0,13.002052599999843
array,insert: col after end,10000,100,1.0,2.8899999961140566e-05
linked_list,insert: col after end,10000,100,1.0,1.4059434000000692
csr,insert: col after end,10000,100,1.0,6.010000015521655e-05
array,insert: col into middle,10000,100,1.0,66.41786290000027
linked_list,insert: col into middle,10000,100,1.0,46.9883577999999
csr,insert: col into middle,10000,100,1.0,13.969600199999604
array,insert: col at random pos.,10000,100,1.0,81.61935569999969
linked_list,insert: col at random pos.,10000,100,1.0,78.95071030000008
csr,insert: col at random pos.,10000,100,1.0,15.42897559999983
array,insert: row at start,1000,1000,0.33,11.489378800000395
linked_list,insert: row at start,1000,1000,0.33,0.034661899999719026
csr,insert: row at start,1000,1000,0.33,0.0001046000002133951
array,insert: row at end,1000,1000,0.33,1.3973157000000356
linked_list,insert: row at end,1000,1000,0.33,0.03404309999996258
csr,insert: row at end,1000,1000,0.33,6.890000031489762e-05
array,insert: row after end,1000,1000,0.33,3.060000017285347e-05
linked_list,insert: row after end,1000,1000,0.33,0.014594300000226212
csr,insert: row after end,1000,1000,0.33,5.4799999816168565e-05
array,insert: row into middle,1000,1000,0.33,7.807814900000267
linked_list,insert: row into middle,1000,1000,0.33,0.042638000000351894
csr,insert: row into middle,1000,1000,0.33,8.949999983087764e-05
array,insert: row at random pos.,1000,1000,0.33,8.740467699999954
linked_list,insert: row at random pos.,1000,1000,0.33,0.04751139999962106
csr,insert: row at random pos.,1000,1000,0.33,0.0001870999999482592
array,insert: col at start,1000,1000,0.33,20.78619669999989
linked_list,insert: col at start,1000,1000,0.33,2.117750899999919
csr,insert: col at start,1000,1000,0.33,4.471443300000374
array,insert: col at end,1000,1000,0.33,2.6173115999999936
linked_list,insert: col at end,1000,1000,0.33,6.257414100000005
csr,insert: col at end,1000,1000,0.33,2.2149818000002597
array,insert: col after end,1000,1000,0.33,3.969999988839845e-05
linked_list,insert: col after end,1000,1000,0.33,0.1764127000001281
csr,insert: col after end,1000,1000,0.33,4.2299999677197775e-05
array,insert: col into middle,1000,1000,0.33,20.279596100000163
linked_list,insert: col into middle,1000,1000,0.33,9.250056899999436
csr,insert: col into middle,1000,1000,0.33,4.502877900000385
array,insert: col at random pos.,1000,1000,0.33,16.454964200000177
linked_list,insert: col at random pos.,1000,1000,0.33,11.761471900000288
csr,insert: col at random pos.,1000,1000,0.33,4.893588500000078
array,insert: row at start,1000,1000,0.66,16.69961710000007
linked_list,insert: row at start,1000,1000,0.66,0.03568449999966106
csr,insert: row at start,1000,1000,0.66,9.980000049836235e-05
array,insert: row at end,1000,1000,0.66,1.986871500000234
linked_list,insert: row at end,1000,1000,0.66,0.031675799999902665
csr,insert: row at end,1000,1000,0.66,6.459999985963805e-05
array,insert: row after end,1000,1000,0.66,2.8000000384054147e-05
linked_list,insert: row after end,1000,1000,0.66,0.014164899999741465
csr,insert: row after end,1000,1000,0.66,6.100000064179767e-05
array,insert: row into middle,1000,1000,0.66,11.382102400000804
linked_list,insert: row into middle,1000,1000,0.66,0.04485789999944245
csr,insert: row into middle,1000,1000,0.66,0.00010059999931399943
array,insert: row at random pos.,1000,1000,0.66,12.812276599999677
linked_list,insert: row at random pos.,1000,1000,0.66,0.045313200000236975
csr,insert: row at random pos.,1000,1000,0.66,0.0001824000000851811
array,insert: col at start,1000,1000,0.66,29.913222700000006
linked_list,insert: col at start,1000,1000,0.66,2.2235131999996156
csr,insert: col at start,1000,1000,0.66,8.80711599999995
array,insert: col at end,1000,1000,0.66,3.599485800000366
linked_list,insert: col at end,1000,1000,0.66,6.359536500000104
csr,insert: col at end,1000,1000,0.66,4.868879900000138
array,insert: col after end,1000,1000,0.66,2.9100000574544538e-05
linked_list,insert: col after end,1000,1000,0.66,0.24756250000064028
csr,insert: col after end,1000,1000,0.66,5.529999998543644e-05
array,insert: col into middle,1000,1000,0.66,19.588237600000866
linked_list,insert: col into middle,1000,1000,0.66,7.380887799999982
csr,insert: col into middle,1000,1000,0.66,7.662105400000655
array,insert: col at random pos.,1000,1000,0.66,27.2490444999994
linked_list,insert: col at random pos.,1000,1000,0.66,11.37262660000033
csr,insert: col at random pos.,1000,1000,0.66,7.612224100000276
array,insert: row at start,1000,1000,1.0,18.381326600000648
linked_list,insert: row at start,1000,1000,1.0,0.03284410000014759
csr,insert: row at start,1000,1000,1.0,0.00011050000011891825
array,insert: row at end,1000,1000,1.0,2.094304799999918
linked_list,insert: row at end,1000,1000,1.0,0.032390700000178185
csr,insert: row at end,1000,1000,1.0,8.710000020073494e-05
array,insert: row after end,1000,1000,1.0,7.090000053722179e-05
linked_list,insert: row after end,1000,1000,1.0,0.016083700000308454
csr,insert: row after end,1000,1000,1.0,0.00012069999957020627
array,insert: row into middle,1000,1000,1.0,12.036799800000153
linked_list,insert: row into middle,1000,1000,1.0,0.03985560000000987
csr,insert: row into middle,1000,1000,1.0,9.350000073027331e-05
array,insert: row at random pos.,1000,1000,1.0,12.769479800000227
linked_list,insert: row at random pos.,1000,1000,1.0,0.04498039999998582
csr,insert: row at random pos.,1000,1000,1.0,0.00024699999994481914
array,insert: col at start,1000,1000,1.0,35.31853719999981
linked_list,insert: col at start,1000,1000,1.0,2.3047399999995832
csr,insert: col at start,1000,1000,1.0,14.148433100000148
array,insert: col at end,1000,1000,1.0,4.880886400000236
linked_list,insert: col at end,1000,1000,1.0,7.470358999999917
csr,insert: col at end,1000,1000,1.0,7.071463100000074
array,insert: col after end,1000,1000,1.0,2.8500000553322025e-05
linked_list,insert: col after end,1000,1000,1.0,0.1919339999994918
csr,insert: col after end,1000,1000,1.0,9.360000058222795e-05
array,insert: col into middle,1000,1000,1.0,22.46780360000048
linked_list,insert: col into middle,1000,1000,1.0,7.257367500000328
csr,insert: col into middle,1000,1000,1.0,10.532261599999401
array,insert: col at random pos.,1000,1000,1.0,26.274540700000216
linked_list,insert: col at random pos.,1000,1000,1.0,11.574090199999773
csr,insert: col at random pos.,1000,1000,1.0,11.115267099999983
array,insert: row at start,1000,10,0.33,0.14561409999987518
linked_list,insert: row at start,1000,10,0.33,0.03403630000047997
csr,insert: row at start,1000,10,0.33,8.450000041193562e-05
array,insert: row at end,1000,10,0.33,0.01805450000028941
linked_list,insert: row at end,1000,10,0.33,0.03054950000023382
csr,insert: row at end,1000,10,0.33,5.870000040886225e-05
array,insert: row after end,1000,10,0.33,2.5100000129896216e-05
linked_list,insert: row after end,1000,10,0.33,0.013944100000117032
csr,insert: row after end,1000,10,0.33,7.900000036897836e-05
array,insert: row into middle,1000,10,0.33,0.09720040000047447
linked_list,insert: row into middle,1000,10,0.33,0.0408279000002949
csr,insert: row into middle,1000,10,0.33,0.00012070000047970098
array,insert: row at random pos.,1000,10,0.33,0.10299060000033933
linked_list,insert: row at random pos.,1000,10,0.33,0.045058800000333576
csr,insert: row at random pos.,1000,10,0.33,0.00020850000055361306
array,insert: col at start,1000,10,0.33,0.539792500000658
linked_list,insert: col at start,1000,10,0.33,2.167000499999631
csr,insert: col at start,1000,10,0.33,0.03256440000041039
array,insert: col at end,1000,10,0.33,1.390255199999956
linked_list,insert: col at end,1000,10,0.33,6.4030573
csr,insert: col at end,1000,10,0.33,0.036676700000498386
array,insert: col after end,1000,10,0.33,2.8200000087963417e-05
linked_list,insert: col after end,1000,10,0.33,0.1682501000004777
csr,insert: col after end,1000,10,0.33,4.0800000533636194e-05
array,insert: col into middle,1000,10,0.33,2.430960099999538
linked_list,insert: col into middle,1000,10,0.33,7.732141700000284
csr,insert: col into middle,1000,10,0.33,0.042795599999408296
array,insert: col at random pos.,1000,10,0.33,3.9317768999999316
linked_list,insert: col at random pos.,1000,10,0.33,12.03108179999981
csr,insert: col at random pos.,1000,10,0.33,0.0497706999994989
array,insert: row at start,1000,10,0.66,0.2092374000003474
linked_list,insert: row at start,1000,10,0.66,0.0376072999997632
csr,insert: row at start,1000,10,0.66,0.00010060000022349413
array,insert: row at end,1000,10,0.66,0.025768699999389355
linked_list,insert: row at end,1000,10,0.66,0.037390500000583415
csr,insert: row at end,1000,10,0.66,0.00010449999990669312
